Nº  da AF,Tipo,Nome do Fornecedor,Filial,A.F. Principal,"Tem
Filha",Fornecedor,Nome da Filial,Comprador,Nome do Comprador,Un. Compr.,"Dados
Repres.","Data da
AF","Dt. Últ.
Receb.","Cond.
Pag.",Unidade,"Desconto
 (R$/%)","Outras
Despesas","Valor Total
Pedido (R$)",ST,Autoriz,Origem,Origem,Dev,"Impressa/
Enviada",Transp. 1,Cond. Pag T1,Frete T1,Transp 2,Cond. Pag. T2,Frete T2,"Fnt.
Recurso","Tipo Frete
Interno","Guia
Importação","Núm.
Contrato","Núm.
Licitação",Multa Atraso,Qtd dias,Ind. Data Base,Autorizador,Moeda,"Data de
Validade","Código
Referência",Val. Tot. Financeiro,Valor Total Integral,"Recebto
Confirmado",Modalidade,Modalidade,XML Gerado,Aceita,Data Aceite,Total Valor Pendente,Total Qtde. Pendente
00003236,N,GKS SERVICOS PATRIMONIAIS EIRELI,015,00003236,N,10470,C.E.S.A.R - SOROCABA,24,REGIANE C MENDONÇA BANDEIRA,,Não,2/2/2022,1/25/2022,00,001,0,0,"3.624,77",R,S,31,AF,N,Sim,,,0,,,0,00,,,,,0,0,DMNF,,R$,,,"3.624,77","3.624,77",Não,00000001,Padrão,,S,2/2/2022,0,0
00003237,N,CLARO S/A,015,00003237,N,1473,C.E.S.A.R - SOROCABA,25,VICTOR SOUZA,,Não,2/2/2022,1/28/2022,00,001,0,0,"320,82",R,S,31,AF,N,Sim,,,0,,,0,00,,,,,0,0,DMNF,,R$,,,"320,82","320,82",Não,00000001,Padrão,,S,2/2/2022,0,0
00003238,N,EDIFICIO PLANETA OFFICE CENTER,015,00003238,N,9363,C.E.S.A.R - SOROCABA,25,VICTOR SOUZA,,Não,2/7/2022,2/4/2022,00,001,0,0,"680,4",R,S,31,AF,N,Sim,,,0,,,0,00,,,,,0,0,DMNF,,R$,,,"680,4","680,4",Não,00000001,Padrão,,S,2/7/2022,0,0
00003239,N,EDIFICIO PLANETA OFFICE CENTER,015,00003239,N,9363,C.E.S.A.R - SOROCABA,25,VICTOR SOUZA,,Não,2/7/2022,2/4/2022,00,001,0,0,"538,19",R,S,31,AF,N,Sim,,,0,,,0,00,,,,,0,0,DMNF,,R$,,,"538,19","538,19",Não,00000001,Padrão,,S,2/7/2022,0,0
00003240,N,EDIFICIO PLANETA OFFICE CENTER,015,00003240,N,9363,C.E.S.A.R - SOROCABA,25,VICTOR SOUZA,,Não,2/7/2022,2/4/2022,00,001,0,0,"538,31",R,S,31,AF,N,Sim,,,0,,,0,00,,,,,0,0,DMNF,,R$,,,"538,31","538,31",Não,00000001,Padrão,,S,2/7/2022,0,0
00003241,N,EDIFICIO PLANETA OFFICE CENTER,015,00003241,N,9363,C.E.S.A.R - SOROCABA,25,VICTOR SOUZA,,Não,2/7/2022,2/4/2022,00,001,0,0,"538,19",R,S,31,AF,N,Sim,,,0,,,0,00,,,,,0,0,DMNF,,R$,,,"538,19","538,19",Não,00000001,Padrão,,S,2/7/2022,0,0
00003242,N,EDIFICIO PLANETA OFFICE CENTER,015,00003242,N,9363,C.E.S.A.R - SOROCABA,25,VICTOR SOUZA,,Não,2/7/2022,2/4/2022,00,001,0,0,"680,4",R,S,31,AF,N,Sim,,,0,,,0,00,,,,,0,0,DMNF,,R$,,,"680,4","680,4",Não,00000001,Padrão,,S,2/7/2022,0,0
00003243,N,FIT IN COMPANY TREINAMENTOS ESPORTIVOS - EIRELI - ME,015,00003243,N,8043,C.E.S.A.R - SOROCABA,25,VICTOR SOUZA,,Não,2/14/2022,2/14/2022,00,001,0,0,"1.786,00",R,S,31,AF,N,Sim,,,0,,,0,00,,,,,0,0,DMNF,,R$,,,"1.786,00","1.786,00",Não,00000001,Padrão,,S,2/14/2022,0,0
00003244,N,CENTRO DE EST. E SIST. AVANC. RECIFE,015,00003244,N,2006,C.E.S.A.R - SOROCABA,25,VICTOR SOUZA,,Não,2/15/2022,2/1/2022,15,001,0,0,"920,32",R,S,31,AF,N,Sim,,,0,,,0,00,,,,,0,0,DMNF,,R$,,,"920,32","920,32",Não,00000001,Padrão,,S,2/15/2022,0,0
00003245,N,COMPANHIA PIRATININGA DE FORÇA E LUZ,015,00003245,N,9398,C.E.S.A.R - SOROCABA,25,VICTOR SOUZA,,Não,2/21/2022,2/21/2022,00,001,0,0,"119,71",R,S,31,AF,N,Sim,,,0,,,0,00,,,,,0,0,DMNF,,R$,,,"119,71","119,71",Não,00000001,Padrão,,S,2/21/2022,0,0
